Title,Genre,Age Rating,Content Type,Duration(min),Origin Country,Main Cast,Audio,IMDB rate,Seasons,Release Year,,,
Happiness: Episode 1,Suspense,16+,TV Show,61,South Korea,"Han Hyo-joo , Park Hyung-sik , Jo Woo-jin , Joo-hee Park ,Lee Joon-hyuk ",Korean,7.9,1,2021,,,
Happiness: Episode 10,Suspense,16+,TV Show,61,South Korea,"Han Hyo-joo , Park Hyung-sik , Jo Woo-jin , Joo-hee Park ,Lee Joon-hyuk ",Korean,7.9,1,2021,,,
Tale of the Nine Tailed: Episode 4,Fantasy,13+,TV Show,70,South Korea,"Lee Dong-wook , Kim Bum , Lee Joo-won , Jo Bo-ah,. Park Da-yeon",Korean,7.9,1,2020,,,
"XO, Kitty: Season 1: OTP",Teen-drama,13+,TV Show,25,United States,"Anna Cathcart ,Minyeong Choi ,Gia Kim ,Sang Heon Lee, Anthony Keyvan","English, Korean",6.6,1,2023,,,
"XO, Kitty: Season 1: SNAFU",Teen-drama,13+,TV Show,25,United States,"Anna Cathcart ,Minyeong Choi ,Gia Kim ,Sang Heon Lee, Anthony Keyvan","English, Korean",6.6,1,2023,,,
"XO, Kitty: Season 1: LFG",Teen-drama,13+,TV Show,25,United States,"Anna Cathcart ,Minyeong Choi ,Gia Kim ,Sang Heon Lee, Anthony Keyvan","English, Korean",6.6,1,2023,,,
"XO, Kitty: Season 1: TIL",Teen-drama,13+,TV Show,25,United States,"Anna Cathcart ,Minyeong Choi ,Gia Kim ,Sang Heon Lee, Anthony Keyvan","English, Korean",6.6,1,2023,,,
"XO, Kitty: Season 1: BYOB",Teen-drama,13+,TV Show,25,United States,"Anna Cathcart ,Minyeong Choi ,Gia Kim ,Sang Heon Lee, Anthony Keyvan","English, Korean",6.6,1,2023,,,
"XO, Kitty: Season 1: TBH",Teen-drama,13+,TV Show,25,United States,"Anna Cathcart ,Minyeong Choi ,Gia Kim ,Sang Heon Lee, Anthony Keyvan","English, Korean",6.6,1,2023,,,
"XO, Kitty: Season 1: TGIF",Teen-drama,13+,TV Show,25,United States,"Anna Cathcart ,Minyeong Choi ,Gia Kim ,Sang Heon Lee, Anthony Keyvan","English, Korean",6.6,1,2023,,,
"XO, Kitty: Season 1: KISS",Teen-drama,13+,TV Show,25,United States,"Anna Cathcart ,Minyeong Choi ,Gia Kim ,Sang Heon Lee, Anthony Keyvan","English, Korean",6.6,1,2023,,,
"XO, Kitty: Season 1: WTF",Teen-drama,13+,TV Show,25,United States,"Anna Cathcart ,Minyeong Choi ,Gia Kim ,Sang Heon Lee, Anthony Keyvan","English, Korean",6.6,1,2023,,,
"XO, Kitty: Season 1: XO",Teen-drama,13+,TV Show,25,United States,"Anna Cathcart ,Minyeong Choi ,Gia Kim ,Sang Heon Lee, Anthony Keyvan","English, Korean",6.6,1,2023,,,
Tale of the Nine Tailed: Episode 3,Fantasy,13+,TV Show,70,South Korea,"Lee Dong-wook , Kim Bum , Lee Joo-won , Jo Bo-ah,. Park Da-yeon",Korean,7.9,1,2020,,,
Tale of the Nine Tailed: Episode 2,Fantasy,13+,TV Show,70,South Korea,"Lee Dong-wook , Kim Bum , Lee Joo-won , Jo Bo-ah,. Park Da-yeon",Korean,7.9,1,2020,,,
Tale of the Nine Tailed: Episode 1,Fantasy,13+,TV Show,70,South Korea,"Lee Dong-wook , Kim Bum , Lee Joo-won , Jo Bo-ah,. Park Da-yeon",Korean,7.9,1,2020,,,
Friends: Season 4: The One with Rachel's New Dress,Comedy,13+,TV Show,22,United States,"Jennifer Aniston, Courtney Cox, Lisa Kudrow, Matthew Perry, Matt Le Blanc, David Schwimmer",English,8.9,10,1994,,,
Friends: Season 7: The One Where Rosita Dies,Comedy,13+,TV Show,22,United States,"Jennifer Aniston, Courtney Cox, Lisa Kudrow, Matthew Perry, Matt Le Blanc, David Schwimmer",English,8.9,10,1994,,,
